,Date,Value,location,parameter,longitude,latitude,Data_Converted
60,2024-08-20T01:00:00+00:00,2.956249992052714,1552754,pm25,-122.432269,45.592266,2024-08-20 01:00:00+00:00
61,2024-08-20T00:00:00+00:00,2.693749984105428,1552754,pm25,-122.432269,45.592266,2024-08-20 00:00:00+00:00
62,2024-08-19T23:00:00+00:00,3.0750000278155007,1552754,pm25,-122.432269,45.592266,2024-08-19 23:00:00+00:00
63,2024-08-19T22:00:00+00:00,3.668749968210856,1552754,pm25,-122.432269,45.592266,2024-08-19 22:00:00+00:00
64,2024-08-19T21:00:00+00:00,2.9458333253860474,1552754,pm25,-122.432269,45.592266,2024-08-19 21:00:00+00:00
65,2024-08-19T20:00:00+00:00,3.9541666309038797,1552754,pm25,-122.432269,45.592266,2024-08-19 20:00:00+00:00
66,2024-08-19T19:00:00+00:00,4.1729167103767395,1552754,pm25,-122.432269,45.592266,2024-08-19 19:00:00+00:00
67,2024-08-19T18:00:00+00:00,4.324999948342641,1552754,pm25,-122.432269,45.592266,2024-08-19 18:00:00+00:00
68,2024-08-19T17:00:00+00:00,3.7229166825612388,1552754,pm25,-122.432269,45.592266,2024-08-19 17:00:00+00:00
69,2024-08-19T16:00:00+00:00,3.8124999602635703,1552754,pm25,-122.432269,45.592266,2024-08-19 16:00:00+00:00
70,2024-08-19T15:00:00+00:00,3.6666666070620217,1552754,pm25,-122.432269,45.592266,2024-08-19 15:00:00+00:00
71,2024-08-19T14:00:00+00:00,3.7541666428248086,1552754,pm25,-122.432269,45.592266,2024-08-19 14:00:00+00:00
72,2024-08-19T13:00:00+00:00,3.431250015894572,1552754,pm25,-122.432269,45.592266,2024-08-19 13:00:00+00:00
73,2024-08-19T12:00:00+00:00,3.6729166905085244,1552754,pm25,-122.432269,45.592266,2024-08-19 12:00:00+00:00
74,2024-08-19T11:00:00+00:00,3.716666658719381,1552754,pm25,-122.432269,45.592266,2024-08-19 11:00:00+00:00
75,2024-08-19T10:00:00+00:00,3.4375,1552754,pm25,-122.432269,45.592266,2024-08-19 10:00:00+00:00
76,2024-08-19T09:00:00+00:00,4.127083361148834,1552754,pm25,-122.432269,45.592266,2024-08-19 09:00:00+00:00
77,2024-08-19T08:00:00+00:00,3.206250011920929,1552754,pm25,-122.432269,45.592266,2024-08-19 08:00:00+00:00
78,2024-08-19T07:00:00+00:00,2.895833353201548,1552754,pm25,-122.432269,45.592266,2024-08-19 07:00:00+00:00
79,2024-08-19T06:00:00+00:00,2.493749976158142,1552754,pm25,-122.432269,45.592266,2024-08-19 06:00:00+00:00
80,2024-08-19T05:00:00+00:00,2.2729166448116302,1552754,pm25,-122.432269,45.592266,2024-08-19 05:00:00+00:00
81,2024-08-19T04:00:00+00:00,1.9791666368643444,1552754,pm25,-122.432269,45.592266,2024-08-19 04:00:00+00:00
82,2024-08-19T03:00:00+00:00,2.016666660706202,1552754,pm25,-122.432269,45.592266,2024-08-19 03:00:00+00:00
83,2024-08-19T02:00:00+00:00,3.2249999940395355,1552754,pm25,-122.432269,45.592266,2024-08-19 02:00:00+00:00
84,2024-08-19T01:00:00+00:00,2.266666660706202,1552754,pm25,-122.432269,45.592266,2024-08-19 01:00:00+00:00
85,2024-08-19T00:00:00+00:00,1.5124999831120174,1552754,pm25,-122.432269,45.592266,2024-08-19 00:00:00+00:00
86,2024-08-18T23:00:00+00:00,1.8374999860922496,1552754,pm25,-122.432269,45.592266,2024-08-18 23:00:00+00:00
